85,2,Sep 4 2016,3:30 PM,Sun,Old Dominion,54,,Hampton,21,,S.B. Ballard Stadium - Norfolk Virginia
86,2,Sep 4 2016,7:30 PM,Sun,Texas,50,,(10) Notre Dame,47,ABC,Darrell K Royal-Texas Memorial Stadium - Austin Texas
87,2,Sep 5 2016,8:00 PM,Mon,(4) Florida State,45,,(11) Mississippi,34,ESPN,Camping World Stadium - Orlando Florida
88,3,Sep 9 2016,8:00 PM,Fri,(13) Louisville,62,@,Syracuse,28,ESPN2,Carrier Dome - Syracuse New York
89,3,Sep 10 2016,2:00 PM,Sat,Air Force,48,,Georgia State,14,CAMP,Falcon Stadium - Colorado Springs Colorado
90,3,Sep 10 2016,3:30 PM,Sat,(1) Alabama,38,,Western Kentucky,10,ESPN2,Bryant-Denny Stadium - Tuscaloosa Alabama
91,3,Sep 10 2016,3:30 PM,Sat,Appalachian State,31,,Old Dominion,7,ESPN3,Kidd Brewer Stadium - Boone North Carolina
92,3,Sep 10 2016,10:45 PM,Sat,Arizona,31,,Grambling State,21,PAC12,Arizona Stadium - Tucson Arizona
93,3,Sep 10 2016,10:00 PM,Sat,Arizona State,68,,Texas Tech,55,FS1,Sun Devil Stadium - Tempe Arizona
94,3,Sep 10 2016,7:00 PM,Sat,Arkansas,41,@,(15) Texas Christian,38,ESPN,Amon G. Carter Stadium - Fort Worth Texas
95,3,Sep 10 2016,12:00 PM,Sat,Army,31,,Rice,14,CBSSN,Michie Stadium - West Point New York
96,3,Sep 10 2016,7:30 PM,Sat,Auburn,51,,Arkansas State,14,SECN,Jordan Hare Stadium - Auburn Alabama
97,3,Sep 10 2016,3:30 PM,Sat,(23) Baylor,40,,Southern Methodist,13,FS1,McLane Stadium - Waco Texas
98,3,Sep 10 2016,10:15 PM,Sat,Boise State,31,,Washington State,28,ESPN2,Albertsons Stadium - Boise Idaho
99,3,Sep 10 2016,12:00 PM,Sat,Boston College,26,@,Massachusetts,7,ESPN3,Gillette Stadium - Foxborough Massachusetts
100,3,Sep 10 2016,3:30 PM,Sat,Bowling Green State,27,,North Dakota,26,ESPN3,Doyt L. Perry Stadium - Bowling Green Ohio
101,3,Sep 10 2016,12:00 PM,Sat,Central Michigan,30,@,(22) Oklahoma State,27,FS1,Boone Pickens Stadium - Stillwater Oklahoma
102,3,Sep 10 2016,6:00 PM,Sat,Charlotte,47,,Elon,14,,Jerry Richardson Stadium - Charlotte North Carolina
103,3,Sep 10 2016,12:00 PM,Sat,Cincinnati,38,@,Purdue,20,BTN,Ross Ade Stadium - West Lafayette Indiana
104,3,Sep 10 2016,12:30 PM,Sat,(2) Clemson,30,,Troy,24,ESPN3,Clemson Memorial Stadium - Clemson South Carolina
105,3,Sep 10 2016,5:30 PM,Sat,Colorado,56,,Idaho State,7,,Folsom Field - Boulder Colorado
